id,compound,formula
LMFA01020162,3-methyl-tetradecanoic acid,C15H30O2
LMFA01020163,11-methyl-tetradecanoic acid,C15H30O2
LMFA01020164,3-methyl-pentadecanoic acid,C16H32O2
LMFA01020165,2-propyl-tridecanoic acid,C16H32O2
LMFA01020166,2-hexyl-decanoic acid,C16H32O2
LMFA01020167,3-ethyl-3-methyl-tridecanoic acid,C16H32O2
LMFA01020168,2-heptyl-nonanoic acid,C16H32O2
LMFA01020169,6-ethyl-tetradecanoic acid,C16H32O2
LMFA01020170,2_4-dimethyl-tetradecanoic acid,C16H32O2
LMFA01020171,3_5-dimethyl-tetradecanoic acid,C16H32O2
LMFA01020172,4-hexyl-decanoic acid,C16H32O2
LMFA01020173,2-ethyl-2-butyl-decanoic acid,C16H32O2
LMFA01020174,5-methyl-hexadecanoic acid,C17H34O2
LMFA01020175,11_15-dimethyl-hexadecanoic acid,C18H36O2
LMFA01020176,15-methyl-octadecanoic acid,C19H38O2
LMFA01020177,5-methyl-octadecanoic acid,C19H38O2
LMFA01020181,3-methyl-butanoic acid,C5H10O2
LMFA01020182,3-methyl-decanoic acid,C11H22O2
LMFA01020183,4-methyl-decanoic acid,C11H22O2
LMFA01020184,5-methyl-decanoic acid,C11H22O2
LMFA01020185,6-methyl-decanoic acid,C11H22O2
LMFA01020186,7-methyl-decanoic acid,C11H22O2
LMFA01020187,8-methyl-decanoic acid,C11H22O2
LMFA01020188,9-methyl-decanoic acid,C11H22O2
LMFA01020189,2_5-dimethyl-dodecanoic acid,C14H28O2
LMFA01020190,11-methyl-tridecanoic acid,C14H28O2
LMFA01020191,3-methyl-tridecanoic acid,C14H28O2
LMFA01020192,13-methyl-pentadecanoic acid,C16H32O2
LMFA01020193,10-methyl-hexadecanoic acid,C17H34O2
LMFA01020194,11-methyl-hexadecanoic acid,C17H34O2
LMFA01020195,12-methyl-hexadecanoic acid,C17H34O2
LMFA01020196,13-methyl-hexadecanoic acid,C17H34O2
LMFA01020197,3-methyl-hexadecanoic acid,C17H34O2
LMFA01020198,4-methyl-hexadecanoic acid,C17H34O2
LMFA01020199,5-methyl-hexadecanoic acid,C17H34O2
LMFA01020200,7-methyl-hexadecanoic acid,C17H34O2
LMFA01020201,8-methyl-hexadecanoic acid,C17H34O2
LMFA01020202,9-methyl-hexadecanoic acid,C17H34O2
LMFA01020203,7-methyl-6E-hexadecenoic acid,C17H32O2
LMFA01020204,14-methyl-8E-hexadecenoic acid,C17H32O2
LMFA01020205,15-methyl-heptadecanoic acid,C18H36O2
LMFA01020206,2-methyl-16-heptadecenoic acid,C18H34O2
